start:320
end:800
wavelength#coldwhite,red,blue,purple,warmwhite
320#0.000704,0.000062,0,0.000058,0.000198
321#0.000964,0.000011,0.000082,0.000058,0.000057
322#0.000975,0.000121,0.000043,0.000136,0.000252
323#0.000731,0.000046,0.000067,0.00001,0.000093
324#0.000181,0.000082,0.000039,0.00005,0.000264
325#0.001271,0.000005,0.000006,0.00001,0.000056
326#0.000803,0,0.000148,0.000078,0.000168
327#0.000555,0.000015,0,0.000112,0.00015
328#0.000714,0.000045,0.000128,0.000148,0.000235
329#0.000313,0,0,0.000037,0.00009
330#0.001163,0.000028,0.000047,0,0.000161
331#0.001003,0,0.000039,0.000133,0.000206
332#0.001661,0.000005,0.000007,0.00004,0.000116
333#0.00128,0,0,0.00011,0.000296
334#0.002097,0.000076,0.00019,0.000157,0.00015
335#0.001148,0.000048,0.000021,0.00017,0.000236
336#0.002466,0.000016,0.000073,0.000034,0.000277
337#0.001021,0.000002,0.000105,0.000193,0.000297
338#0.002413,0.000009,0,0.000021,0.000291
339#0.000798,0,0,0,0.000199
340#0.001271,0.000028,0.000217,0.000006,0.000139
341#0.001493,0.000081,0.000143,0.000171,0.000345
342#0.001578,0.000013,0.000056,0.000141,0.000173
343#0.001705,0.000054,0.000102,0.000211,0.000417
344#0.000866,0.000023,0.000098,0.000218,0.000233
345#0.000998,0.000012,0.000097,0.000059,0.00026
346#0.000285,0.000008,0.000071,0.000097,0.000208
347#0.002035,0.00003,0.000026,0.000217,0.000356
348#0.001982,0.000053,0.000001,0.000162,0.000161
349#0.002707,0,0.000149,0.00011,0.000285
350#0.00111,0,0.00002,0.000099,0.000279
351#0.001082,0.000042,0.000145,0.000239,0.00026
352#0.000941,0,0,0.000161,0.0002
353#0.001995,0.000052,0.000042,0.000148,0.000241
354#0.000074,0,0,0.000138,0.000178
355#0.001326,0.000056,0.00013,0.000236,0.000231
356#0.000475,0.000003,0.000004,0.00005,0.00002
357#0.000584,0.000065,0.000058,0.000184,0.000306
358#0.000319,0,0.000006,0.000147,0.000261
359#0.000922,0.000023,0.000048,0.000189,0.000134
360#0.001153,0,0,0.000089,0.000237
361#0.000983,0.000016,0.000061,0.000153,0.000132
362#0.000871,0.000014,0.000079,0.000199,0.000193
363#0.000749,0.000034,0.00002,0.000087,0.000172
364#0.000316,0.00004,0.000041,0.000172,0.000205
365#0.001112,0.000068,0.000073,0.000152,0.000181
366#0.001273,0,0.000054,0.000145,0.000206
367#0.000249,0.000004,0,0.000153,0.000127
368#0.000827,0.000036,0.00005,0.000175,0.000168
369#0.000672,0,0.000013,0.000178,0.000044
370#0.000636,0.000007,0.000064,0.00023,0.000148
371#0.000749,0.000064,0.000053,0.000334,0.000154
372#0.000822,0,0.000054,0.000331,0.000153
373#0.000347,0.000004,0.000038,0.000356,0.00015
